scene,prior,model_id,model,varying_parameter,fixed_parameter,from_value,to_value,rank_from,rank_to,rank_jump
coding,q1,kimi_k3_max,Kimi K3 (max reasoning),alpha,-0.3,0.725,0.75,1,2,1
coding,q1,kimi_k3_max,Kimi K3 (max reasoning),alpha,-0.25,0.725,0.75,1,2,1
coding,q1,kimi_k3_max,Kimi K3 (max reasoning),alpha,-0.2,0.725,0.75,1,2,1
coding,q1,kimi_k3_max,Kimi K3 (max reasoning),alpha,-0.15000000000000002,0.725,0.75,1,2,1
coding,q1,kimi_k3_max,Kimi K3 (max reasoning),alpha,-0.1,0.725,0.75,1,2,1
coding,q1,qwen3_8_max,Qwen3.8-Max,alpha,-0.7,0.625,0.65,6,5,-1
coding,q1,qwen3_8_max,Qwen3.8-Max,alpha,-0.6499999999999999,0.65,0.675,6,5,-1
coding,q1,qwen3_8_max,Qwen3.8-Max,alpha,-0.6,0.65,0.675,6,5,-1
coding,q1,qwen3_8_max,Qwen3.8-Max,alpha,-0.5499999999999999,0.65,0.675,6,5,-1
coding,q1,qwen3_8_max,Qwen3.8-Max,alpha,-0.5,0.65,0.675,6,5,-1
coding,q1,qwen3_8_max,Qwen3.8-Max,alpha,-0.44999999999999996,0.65,0.675,6,5,-1
coding,q1,qwen3_8_max,Qwen3.8-Max,alpha,-0.39999999999999997,0.65,0.675,6,5,-1
coding,q1,qwen3_8_max,Qwen3.8-Max,alpha,-0.35,0.65,0.675,6,5,-1
coding,q1,qwen3_8_max,Qwen3.8-Max,alpha,-0.3,0.65,0.675,6,5,-1
coding,q1,qwen3_8_max,Qwen3.8-Max,alpha,-0.25,0.65,0.675,6,5,-1
coding,q1,qwen3_8_max,Qwen3.8-Max,alpha,-0.2,0.65,0.675,6,5,-1
coding,q1,qwen3_8_max,Qwen3.8-Max,alpha,-0.15000000000000002,0.65,0.675,6,5,-1
coding,q1,qwen3_8_max,Qwen3.8-Max,alpha,-0.1,0.65,0.675,6,5,-1
dialogue,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.3,0.625,0.64375,2,1,-1
dialogue,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.25,0.625,0.64375,2,1,-1
dialogue,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.2,0.625,0.64375,2,1,-1
dialogue,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.15,0.625,0.64375,2,1,-1
dialogue,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.1,0.625,0.64375,2,1,-1
dialogue,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.05000000000000002,0.625,0.64375,2,1,-1
dialogue,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,0.0,0.625,0.64375,2,1,-1
dialogue,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,0.04999999999999999,0.625,0.64375,2,1,-1
dialogue,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,0.09999999999999998,0.625,0.64375,2,1,-1
dialogue,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,0.14999999999999997,0.625,0.64375,2,1,-1
dialogue,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,0.19999999999999996,0.625,0.64375,2,1,-1
dialogue,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,0.24999999999999994,0.625,0.64375,2,1,-1
dialogue,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,0.3,0.625,0.64375,2,1,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,-0.3,0.55,0.5687500000000001,7,6,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,-0.3,0.6625,0.6812499999999999,6,5,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,-0.3,0.6812499999999999,0.7,5,4,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,-0.25,0.55,0.5687500000000001,7,6,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,-0.25,0.6625,0.6812499999999999,6,5,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,-0.2,0.55,0.5687500000000001,7,6,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,-0.2,0.6625,0.6812499999999999,6,5,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,-0.15,0.55,0.5687500000000001,7,6,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,-0.15,0.6625,0.6812499999999999,6,5,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,-0.1,0.55,0.5687500000000001,7,6,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,-0.1,0.6625,0.6812499999999999,6,5,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,-0.05000000000000002,0.55,0.5687500000000001,7,6,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,-0.05000000000000002,0.6625,0.6812499999999999,6,5,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,0.0,0.55,0.5687500000000001,7,6,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,0.0,0.6625,0.6812499999999999,6,5,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,0.04999999999999999,0.55,0.5687500000000001,7,6,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,0.04999999999999999,0.6625,0.6812499999999999,6,5,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,0.09999999999999998,0.55,0.5687500000000001,7,6,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,0.09999999999999998,0.6625,0.6812499999999999,6,5,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,0.14999999999999997,0.55,0.5687500000000001,7,6,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,0.14999999999999997,0.6625,0.6812499999999999,6,5,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,0.19999999999999996,0.55,0.5687500000000001,7,6,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,0.19999999999999996,0.6625,0.6812499999999999,6,5,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,0.24999999999999994,0.55,0.5687500000000001,7,6,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,0.24999999999999994,0.6625,0.6812499999999999,6,5,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,0.3,0.55,0.5687500000000001,7,6,-1
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),alpha,0.3,0.6625,0.6812499999999999,6,5,-1
dialogue,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,-0.3,0.64375,0.6625,5,4,-1
dialogue,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,-0.3,0.6812499999999999,0.7,4,5,1
dialogue,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,-0.25,0.64375,0.6625,5,4,-1
dialogue,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,-0.2,0.64375,0.6625,5,4,-1
dialogue,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,-0.15,0.64375,0.6625,5,4,-1
dialogue,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,-0.1,0.64375,0.6625,5,4,-1
