bootstrap_id,source_bootstrap_id,model_id,model_name,model_base_name,model_setting,scenario,scenario_code,scenario_name,utility,source_version
2,q1_uncertainty_normal_approx_0002,kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,Coding,Coding,计算机代码开发,0.9366144192579127,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,Coding,Coding,计算机代码开发,0.9116414173175904,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",Research,Research,科研长文本分析,0.8467320189889196,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,Research,Research,科研长文本分析,0.823281498587572,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,Research,Research,科研长文本分析,0.7914267218804905,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,Research,Research,科研长文本分析,0.8557992699054395,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,Research,Research,科研长文本分析,0.7365750273786119,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,Research,Research,科研长文本分析,0.7764467400943786,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,Research,Research,科研长文本分析,0.8213252985410714,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,Research,Research,科研长文本分析,0.8445394592524699,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,Research,Research,科研长文本分析,0.8207741575525229,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,Research,Research,科研长文本分析,0.7786832181782319,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",General,General,大众日常通用对话,0.8769374339205109,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,General,General,大众日常通用对话,0.779778078482297,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,General,General,大众日常通用对话,0.6289448017398758,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,General,General,大众日常通用对话,0.6371253169746623,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,General,General,大众日常通用对话,0.8106195350300277,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,General,General,大众日常通用对话,0.6330541361097347,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,General,General,大众日常通用对话,0.7840752030491073,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,General,General,大众日常通用对话,0.9165992848154553,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,General,General,大众日常通用对话,0.8181761865024748,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,General,General,大众日常通用对话,0.7956831504649878,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",Coding,Coding,计算机代码开发,0.9171993319261941,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,Coding,Coding,计算机代码开发,0.86897907740904,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,Coding,Coding,计算机代码开发,0.845926978563085,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,Coding,Coding,计算机代码开发,0.9695157837135213,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,Coding,Coding,计算机代码开发,0.8767225932428728,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,Coding,Coding,计算机代码开发,0.8040603517941435,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,Coding,Coding,计算机代码开发,0.8465356541292973,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,Coding,Coding,计算机代码开发,0.8942457621618531,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,Coding,Coding,计算机代码开发,0.9159690335398697,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,Coding,Coding,计算机代码开发,0.8749868020508168,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",Research,Research,科研长文本分析,0.9162060728050698,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,Research,Research,科研长文本分析,0.8971352491502045,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,Research,Research,科研长文本分析,0.8682059887507131,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,Research,Research,科研长文本分析,0.9208713026453792,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,Research,Research,科研长文本分析,0.8617739123788618,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,Research,Research,科研长文本分析,0.861635831595723,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,Research,Research,科研长文本分析,0.920401829687627,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,Research,Research,科研长文本分析,0.9359272567064256,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,Research,Research,科研长文本分析,0.94251124952716,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,Research,Research,科研长文本分析,0.8628652133141532,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",General,General,大众日常通用对话,0.9117549508432605,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,General,General,大众日常通用对话,0.8300206950326144,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,General,General,大众日常通用对话,0.6853213311632302,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,General,General,大众日常通用对话,0.6882955048659088,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,General,General,大众日常通用对话,0.8980296290027819,Q2_SCENARIO_UTILITY_v1.0
