uncertainty_scope,perspective,model_id,model,dimension,theta_bootstrap_mean,theta_bootstrap_sd,score_bootstrap_mean,score_bootstrap_sd,score_ci_low,score_ci_high,rank_ci_low,rank_ci_high,T_d,top3_probability,availability_note
DIMENSION_LATENT_SCORE,,gpt_5_6_sol_max,GPT-5.6 Sol (max),C2,0.005707537226329403,0.036560864297512416,53.19618352895652,33.10160588725455,0.0,100.0,,,0.6181818181818182,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,gpt_5_6_sol_max,GPT-5.6 Sol (max),C3,0.00022663575377939227,0.010065504610127911,50.856504702663656,13.567064638567444,24.531491362538365,75.44739122889625,,,0.6,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,gpt_5_6_sol_max,GPT-5.6 Sol (max),C4,0.0010792079178248309,0.024897487448406332,50.87268413646141,11.543392138553564,28.087788542074016,73.15825955985854,,,0.5636363636363636,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,gpt_5_6_sol_max,GPT-5.6 Sol (max),C5,0.020417454158823574,0.07379290712950162,60.26289463527138,37.21145618639415,0.0,100.0,,,0.5892857142857143,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,kimi_k3_max,Kimi K3 (max reasoning),C1,0.0008725399729315577,0.018309479387781828,52.17771314654189,31.50578774805615,0.0,100.0,,,0.5757575757575757,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,kimi_k3_max,Kimi K3 (max reasoning),C2,0.001536785342602605,0.0344909243095383,50.00899600520968,32.354916415468566,0.0,100.0,,,0.6181818181818182,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,kimi_k3_max,Kimi K3 (max reasoning),C3,0.0007757744679994118,0.01929492682732936,51.138481276690506,17.813290516336426,11.99311891161188,87.17149999636985,,,0.6,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,kimi_k3_max,Kimi K3 (max reasoning),C4,0.005525821648882671,0.02856612895245918,52.901948334886534,13.240550554949598,27.878246233111227,79.22758915965585,,,0.5636363636363636,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,kimi_k3_max,Kimi K3 (max reasoning),C5,-0.0009808171551777044,0.06450159157055202,49.79548401761519,36.02878266110843,0.0,100.0,,,0.5892857142857143,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,qwen3_8_max,Qwen3.8-Max,C1,0.0006151847674273161,0.009697331806844222,51.84169266673509,20.805099112739274,7.611176009425691,94.60131961672649,,,0.5757575757575757,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,qwen3_8_max,Qwen3.8-Max,C2,-0.008503641557506943,0.039345325082592905,42.39606059708995,35.272497472278125,0.0,100.0,,,0.6181818181818182,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,qwen3_8_max,Qwen3.8-Max,C3,-0.0001182988749712902,0.012003848970219394,50.64625000958306,14.294868722438556,22.97652601737146,77.9717963791649,,,0.6,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,qwen3_8_max,Qwen3.8-Max,C4,0.0001339052750171631,0.004780250708077476,50.44107180109499,3.0592500629513526,44.43435289080335,56.338720789189814,,,0.5636363636363636,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,qwen3_8_max,Qwen3.8-Max,C5,0.002388620396057325,0.040466912793093016,51.86533421949022,28.441448117138968,0.0,100.0,,,0.5892857142857143,,rank CI unavailable for dimension-level BT score rows
