bootstrap,model_id,overall_score,rank
21,gpt_5_5_xhigh,44.913428520824716,5
21,kimi_k3_max,41.58494264519631,6
21,gemini_3_1_pro_high,40.21360576462279,7
21,qwen3_8_max,34.22316251268201,8
21,claude_opus_4_8_max,27.01411391982396,9
21,glm_5_2_max,21.536441203948947,10
22,claude_fable_5_max,84.85139114328976,1
22,claude_opus_4_8_max,52.87558097107646,2
22,glm_5_2_max,42.28503202501923,3
22,qwen3_8_max,37.48658273073161,4
22,gpt_5_5_xhigh,37.40654772423078,5
22,deepseek_v4_pro_max,32.795356696319246,6
22,gpt_5_6_sol_max,32.75793665635404,7
22,deepseek_v4_flash_max,31.24275717078775,8
22,gemini_3_1_pro_high,28.784557453956566,9
22,kimi_k3_max,24.736787665425624,10
23,claude_fable_5_max,86.13117809519763,1
23,qwen3_8_max,73.55841384359172,2
23,gemini_3_1_pro_high,46.815141180657044,3
23,deepseek_v4_pro_max,46.81382936526093,4
23,kimi_k3_max,43.14582906291116,5
23,glm_5_2_max,40.914670445083445,6
23,gpt_5_6_sol_max,37.405086077171525,7
23,gpt_5_5_xhigh,36.055496689073216,8
23,claude_opus_4_8_max,29.94397479145907,9
23,deepseek_v4_flash_max,20.65896041608191,10
24,deepseek_v4_pro_max,64.47585585349816,1
24,claude_fable_5_max,58.78221583768803,2
24,deepseek_v4_flash_max,57.24144019702871,3
24,gpt_5_6_sol_max,51.86869817987118,4
24,kimi_k3_max,36.666802808349274,5
24,qwen3_8_max,33.44497957155543,6
24,gpt_5_5_xhigh,29.9660933443703,7
24,claude_opus_4_8_max,27.731315606442866,8
24,glm_5_2_max,23.087035507902897,9
24,gemini_3_1_pro_high,16.91455678790724,10
25,gemini_3_1_pro_high,69.17601855795584,1
25,deepseek_v4_flash_max,61.17860122436182,2
25,claude_opus_4_8_max,59.95554734068685,3
25,glm_5_2_max,54.09649389705454,4
25,gpt_5_6_sol_max,52.34372751684184,5
25,gpt_5_5_xhigh,46.62746010212203,6
25,kimi_k3_max,40.98098138194147,7
25,claude_fable_5_max,39.73059383344158,8
25,qwen3_8_max,36.220085644937456,9
25,deepseek_v4_pro_max,21.406787363105757,10
26,kimi_k3_max,70.84697601075612,1
26,deepseek_v4_pro_max,68.0349520047079,2
26,gpt_5_5_xhigh,59.62441939292568,3
26,glm_5_2_max,48.94919254063751,4
26,claude_opus_4_8_max,42.05054309362399,5
26,qwen3_8_max,40.357452011402735,6
26,gpt_5_6_sol_max,39.947319739077564,7
26,gemini_3_1_pro_high,39.09376230255545,8
26,deepseek_v4_flash_max,37.05899721032455,9
26,claude_fable_5_max,35.896345418223525,10
27,deepseek_v4_pro_max,67.82040827031932,1
27,claude_opus_4_8_max,65.71158033813892,2
27,gemini_3_1_pro_high,64.5745358152466,3
27,kimi_k3_max,52.84432789291387,4
27,glm_5_2_max,47.27675883908929,5
27,gpt_5_5_xhigh,44.83370288366156,6
27,gpt_5_6_sol_max,39.76961908119789,7
27,qwen3_8_max,34.794765571789235,8
27,deepseek_v4_flash_max,26.250435211610906,9
27,claude_fable_5_max,19.40324428360106,10
28,deepseek_v4_pro_max,75.4985555383812,1
