bootstrap,dimension,converged,message
39,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
40,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
40,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
40,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
40,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
40,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
41,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
41,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
41,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
41,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
41,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
42,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
42,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
42,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
42,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
42,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
43,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
43,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
43,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
43,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
43,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
44,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
44,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
44,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
44,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
44,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
45,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
45,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
45,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
45,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
45,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
46,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
46,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
46,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
46,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
46,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
