bootstrap,model_id,overall_score,rank
48,gpt_5_6_sol_max,49.91506292561884,3
48,claude_fable_5_max,47.86264776603623,4
48,qwen3_8_max,36.68943770542171,5
48,kimi_k3_max,34.26175868655949,6
48,claude_opus_4_8_max,29.354925680977427,7
49,kimi_k3_max,66.46501712916437,1
49,gpt_5_5_xhigh,64.66409480808474,2
49,gemini_3_1_pro_high,52.47521465221281,3
49,qwen3_8_max,51.305890315557775,4
49,gpt_5_6_sol_max,46.451003445944856,5
49,claude_opus_4_8_max,39.65273855646331,6
49,claude_fable_5_max,36.44756708191372,7
50,gemini_3_1_pro_high,86.5560840018534,1
50,kimi_k3_max,70.6260875701123,2
50,qwen3_8_max,59.5015182798325,3
50,gpt_5_6_sol_max,49.49783139563843,4
50,gpt_5_5_xhigh,47.22515940609571,5
50,claude_fable_5_max,46.781564565589996,6
50,claude_opus_4_8_max,45.7023682188537,7
51,gpt_5_6_sol_max,82.38775458435089,1
51,kimi_k3_max,72.09037741128432,2
51,gemini_3_1_pro_high,50.806646004229485,3
51,claude_fable_5_max,50.377033442297375,4
51,qwen3_8_max,43.95232434538508,5
51,gpt_5_5_xhigh,39.60822566516834,6
51,claude_opus_4_8_max,32.09958056365775,7
52,claude_opus_4_8_max,84.32583261572725,1
52,gpt_5_5_xhigh,77.82437870343944,2
52,claude_fable_5_max,35.877048354907586,3
52,gpt_5_6_sol_max,30.16384125156802,4
52,qwen3_8_max,29.55847348211345,5
52,kimi_k3_max,22.310022594720337,6
52,gemini_3_1_pro_high,15.67693697351679,7
53,claude_fable_5_max,76.55803530927726,1
53,gemini_3_1_pro_high,75.07935534081103,2
53,kimi_k3_max,56.9222875813261,3
53,qwen3_8_max,56.46105194384305,4
53,gpt_5_5_xhigh,47.272449371759166,5
53,gpt_5_6_sol_max,46.648849357212654,6
53,claude_opus_4_8_max,41.2376291194734,7
54,claude_fable_5_max,85.50740157141544,1
54,gemini_3_1_pro_high,79.7469369583957,2
54,qwen3_8_max,69.52793852167076,3
54,gpt_5_6_sol_max,59.44974033354948,4
54,kimi_k3_max,44.94772893745907,5
54,claude_opus_4_8_max,38.00400109214862,6
54,gpt_5_5_xhigh,32.48509592017761,7
55,kimi_k3_max,75.30929769676736,1
55,claude_opus_4_8_max,68.6049721855114,2
55,gemini_3_1_pro_high,54.12807104580921,3
55,gpt_5_6_sol_max,53.593767678480965,4
55,gpt_5_5_xhigh,45.62823947132811,5
55,qwen3_8_max,25.7627948239208,6
55,claude_fable_5_max,15.494416933386864,7
56,qwen3_8_max,61.68404037740697,1
56,gpt_5_6_sol_max,57.42701383066848,2
56,kimi_k3_max,54.08650028990225,3
56,claude_opus_4_8_max,53.589903474759446,4
56,gpt_5_5_xhigh,48.877121295395845,5
56,claude_fable_5_max,45.53327492307886,6
56,gemini_3_1_pro_high,16.097618902376908,7
57,gpt_5_6_sol_max,81.68664241587064,1
57,claude_fable_5_max,58.08511411613596,2
57,gemini_3_1_pro_high,54.91075408110021,3
57,gpt_5_5_xhigh,54.5339067680997,4
57,claude_opus_4_8_max,49.492907440614616,5
57,qwen3_8_max,44.30852662507495,6
57,kimi_k3_max,20.729489519929057,7
58,gpt_5_5_xhigh,67.25318672960685,1
58,gpt_5_6_sol_max,60.43767470501156,2
58,gemini_3_1_pro_high,56.851932373602054,3
58,kimi_k3_max,52.790009947610805,4
58,claude_opus_4_8_max,45.78266375066198,5
58,qwen3_8_max,37.40921627483367,6
58,claude_fable_5_max,27.03764142673685,7
59,gpt_5_6_sol_max,61.47451324519078,1
59,claude_fable_5_max,59.48174711227476,2
59,kimi_k3_max,40.072653892972774,3
