bootstrap,dimension,model_id,theta
4,C3,gpt_5_5_xhigh,0.012679317216698478
4,C3,claude_fable_5_max,-0.005141686213866475
4,C3,claude_opus_4_8_max,0.020683576140135593
4,C3,gemini_3_1_pro_high,-0.03591431481262705
4,C3,deepseek_v4_pro_max,-0.03048794149811006
4,C3,deepseek_v4_flash_max,0.05503867184092768
4,C3,qwen3_8_max,-0.0030291111347580404
4,C3,glm_5_2_max,-0.004281798515513242
4,C4,kimi_k3_max,0.003217668172312506
4,C4,gpt_5_6_sol_max,-0.049737517083238106
4,C4,gpt_5_5_xhigh,0.02410374332583858
4,C4,claude_fable_5_max,0.0052681521760348056
4,C4,claude_opus_4_8_max,0.044768838861912116
4,C4,gemini_3_1_pro_high,-0.005187643405269064
4,C4,deepseek_v4_pro_max,-0.11289112178814006
4,C4,deepseek_v4_flash_max,0.10428723752097116
4,C4,qwen3_8_max,0.0007599072924195134
4,C4,glm_5_2_max,-0.014589265072841444
4,C5,kimi_k3_max,-0.07327889085854594
4,C5,gpt_5_6_sol_max,-0.06727574200895707
4,C5,gpt_5_5_xhigh,0.09399934777162425
4,C5,claude_fable_5_max,0.060387971493458766
4,C5,claude_opus_4_8_max,-0.06338193633081543
4,C5,gemini_3_1_pro_high,0.07828953529566536
4,C5,deepseek_v4_pro_max,
4,C5,deepseek_v4_flash_max,
4,C5,qwen3_8_max,-0.0287402853624299
4,C5,glm_5_2_max,
5,C1,kimi_k3_max,0.030680409986008947
5,C1,gpt_5_6_sol_max,-0.016126662873112232
5,C1,gpt_5_5_xhigh,0.018921420976827974
5,C1,claude_fable_5_max,-0.019425168074736796
5,C1,claude_opus_4_8_max,-0.015133108240713228
5,C1,gemini_3_1_pro_high,0.026247275946497145
5,C1,deepseek_v4_pro_max,-0.008172557814685753
5,C1,deepseek_v4_flash_max,0.01600793818264613
5,C1,qwen3_8_max,-0.003917202757290862
5,C1,glm_5_2_max,-0.02908234533144132
5,C2,kimi_k3_max,0.014705513113149143
5,C2,gpt_5_6_sol_max,-0.023840922460868597
5,C2,gpt_5_5_xhigh,0.023671596937008554
5,C2,claude_fable_5_max,0.05047120232609637
5,C2,claude_opus_4_8_max,0.007448084388209939
5,C2,gemini_3_1_pro_high,-0.020720489635355836
5,C2,deepseek_v4_pro_max,-0.005433420918530445
5,C2,deepseek_v4_flash_max,-0.031908706280982135
5,C2,qwen3_8_max,-0.021128475077132912
5,C2,glm_5_2_max,0.006735617608405921
5,C3,kimi_k3_max,0.014120189933000998
5,C3,gpt_5_6_sol_max,0.003098342358497995
5,C3,gpt_5_5_xhigh,-0.0006680011895579884
5,C3,claude_fable_5_max,0.0048107287877774
5,C3,claude_opus_4_8_max,-0.022162620010077974
5,C3,gemini_3_1_pro_high,-0.10296624322300356
5,C3,deepseek_v4_pro_max,0.20841843426437148
5,C3,deepseek_v4_flash_max,-0.10611817676732534
5,C3,qwen3_8_max,0.013731452677511498
5,C3,glm_5_2_max,-0.012264106831194532
5,C4,kimi_k3_max,0.051163872692622826
5,C4,gpt_5_6_sol_max,-0.013984239626012323
5,C4,gpt_5_5_xhigh,0.02731243311307444
5,C4,claude_fable_5_max,0.03780733426824734
5,C4,claude_opus_4_8_max,-0.03765940906754686
5,C4,gemini_3_1_pro_high,-0.0005068607942386831
5,C4,deepseek_v4_pro_max,0.11428614937932698
5,C4,deepseek_v4_flash_max,-0.10917889251353724
5,C4,qwen3_8_max,-0.00011454146357936566
5,C4,glm_5_2_max,-0.06912584598835714
5,C5,kimi_k3_max,0.1604356871114748
5,C5,gpt_5_6_sol_max,-0.05740460056760756
5,C5,gpt_5_5_xhigh,0.026188729909060144
5,C5,claude_fable_5_max,-0.04104376052828625
5,C5,claude_opus_4_8_max,0.019633907487576565
5,C5,gemini_3_1_pro_high,-0.0763661412493136
5,C5,deepseek_v4_pro_max,
5,C5,deepseek_v4_flash_max,
5,C5,qwen3_8_max,-0.0314438221629041
