bootstrap,dimension,model_id,score
5,C4,gemini_3_1_pro_high,48.63043937377872
5,C4,deepseek_v4_pro_max,100.0
5,C4,deepseek_v4_flash_max,0.0
5,C4,qwen3_8_max,48.806001209910306
5,C4,glm_5_2_max,17.92362965854083
5,C5,kimi_k3_max,100.0
5,C5,gpt_5_6_sol_max,8.007345556815746
5,C5,gpt_5_5_xhigh,43.30831052626941
5,C5,claude_fable_5_max,14.91643074107122
5,C5,claude_opus_4_8_max,40.54024810595028
5,C5,gemini_3_1_pro_high,0.0
5,C5,deepseek_v4_pro_max,
5,C5,deepseek_v4_flash_max,
5,C5,qwen3_8_max,18.970427465604867
5,C5,glm_5_2_max,
6,C1,kimi_k3_max,50.926531094159124
6,C1,gpt_5_6_sol_max,52.883994244435364
6,C1,gpt_5_5_xhigh,71.90843041675302
6,C1,claude_fable_5_max,99.99999999999999
6,C1,claude_opus_4_8_max,83.65437106742708
6,C1,gemini_3_1_pro_high,39.59428655857468
6,C1,deepseek_v4_pro_max,43.550992494890394
6,C1,deepseek_v4_flash_max,0.0
6,C1,qwen3_8_max,61.22965276328049
6,C1,glm_5_2_max,37.74005576524119
6,C2,kimi_k3_max,76.1337140819191
6,C2,gpt_5_6_sol_max,37.174849272350095
6,C2,gpt_5_5_xhigh,42.13349295615024
6,C2,claude_fable_5_max,100.0
6,C2,claude_opus_4_8_max,36.03469212180189
6,C2,gemini_3_1_pro_high,37.69196098824114
6,C2,deepseek_v4_pro_max,0.0
6,C2,deepseek_v4_flash_max,32.53393616157248
6,C2,qwen3_8_max,4.378586367263994
6,C2,glm_5_2_max,47.189316775057605
6,C3,kimi_k3_max,56.31213391403385
6,C3,gpt_5_6_sol_max,69.38594421865203
6,C3,gpt_5_5_xhigh,68.25372294805948
6,C3,claude_fable_5_max,52.024543058322585
6,C3,claude_opus_4_8_max,75.66714942629892
6,C3,gemini_3_1_pro_high,81.8908871168161
6,C3,deepseek_v4_pro_max,0.0
6,C3,deepseek_v4_flash_max,100.0
6,C3,qwen3_8_max,58.699304014593785
6,C3,glm_5_2_max,56.52346846028207
6,C4,kimi_k3_max,34.06250214556364
6,C4,gpt_5_6_sol_max,47.12680731670762
6,C4,gpt_5_5_xhigh,55.92177680982697
6,C4,claude_fable_5_max,42.94844660302903
6,C4,claude_opus_4_8_max,48.96250236336272
6,C4,gemini_3_1_pro_high,49.74529162783396
6,C4,deepseek_v4_pro_max,100.0
6,C4,deepseek_v4_flash_max,0.0
6,C4,qwen3_8_max,48.807789650517705
6,C4,glm_5_2_max,75.19692598229098
6,C5,kimi_k3_max,34.062298446497564
6,C5,gpt_5_6_sol_max,45.75783462709865
6,C5,gpt_5_5_xhigh,100.0
6,C5,claude_fable_5_max,57.05859758030835
6,C5,claude_opus_4_8_max,0.0
6,C5,gemini_3_1_pro_high,53.77920942876557
6,C5,deepseek_v4_pro_max,
6,C5,deepseek_v4_flash_max,
6,C5,qwen3_8_max,50.58339283751594
6,C5,glm_5_2_max,
7,C1,kimi_k3_max,50.117167271530185
7,C1,gpt_5_6_sol_max,79.73910295171952
7,C1,gpt_5_5_xhigh,48.44313254361317
7,C1,claude_fable_5_max,0.0
7,C1,claude_opus_4_8_max,63.20014515819631
7,C1,gemini_3_1_pro_high,100.0
7,C1,deepseek_v4_pro_max,71.5273272520828
7,C1,deepseek_v4_flash_max,12.95250892995372
7,C1,qwen3_8_max,51.508266911153456
7,C1,glm_5_2_max,50.619336685240214
7,C2,kimi_k3_max,18.206131604827306
7,C2,gpt_5_6_sol_max,59.75030514443585
7,C2,gpt_5_5_xhigh,16.341089587295112
7,C2,claude_fable_5_max,100.0
7,C2,claude_opus_4_8_max,23.92016653891866
7,C2,gemini_3_1_pro_high,27.36107340223844
7,C2,deepseek_v4_pro_max,0.0
7,C2,deepseek_v4_flash_max,39.811934691627975
7,C2,qwen3_8_max,8.144991373269532
7,C2,glm_5_2_max,14.25357318346203
7,C3,kimi_k3_max,48.99922879430805
7,C3,gpt_5_6_sol_max,53.51950023640746
7,C3,gpt_5_5_xhigh,68.31820647869876
7,C3,claude_fable_5_max,64.39396875551635
7,C3,claude_opus_4_8_max,81.01667641394356
7,C3,gemini_3_1_pro_high,0.0
7,C3,deepseek_v4_pro_max,100.0
7,C3,deepseek_v4_flash_max,87.25101896387724
7,C3,qwen3_8_max,58.09159976681092
7,C3,glm_5_2_max,61.708898660003136
7,C4,kimi_k3_max,47.56441395127423
7,C4,gpt_5_6_sol_max,66.65969735529747
7,C4,gpt_5_5_xhigh,50.53831240275634
7,C4,claude_fable_5_max,42.655556812325166
7,C4,claude_opus_4_8_max,53.71922798534644
7,C4,gemini_3_1_pro_high,49.859810579808574
7,C4,deepseek_v4_pro_max,100.0
7,C4,deepseek_v4_flash_max,0.0
7,C4,qwen3_8_max,49.02559075182664
7,C4,glm_5_2_max,35.99364812485655
7,C5,kimi_k3_max,38.74956435360128
7,C5,gpt_5_6_sol_max,100.0
7,C5,gpt_5_5_xhigh,22.282792873166798
7,C5,claude_fable_5_max,65.66078091109237
7,C5,claude_opus_4_8_max,0.0
7,C5,gemini_3_1_pro_high,23.811091004086276
7,C5,deepseek_v4_pro_max,
7,C5,deepseek_v4_flash_max,
7,C5,qwen3_8_max,27.276617991482155
7,C5,glm_5_2_max,
8,C1,kimi_k3_max,100.0
8,C1,gpt_5_6_sol_max,96.6753557559035
8,C1,gpt_5_5_xhigh,97.74388703174127
8,C1,claude_fable_5_max,64.49591780585213
8,C1,claude_opus_4_8_max,88.09425863165808
8,C1,gemini_3_1_pro_high,44.63423582546858
8,C1,deepseek_v4_pro_max,87.9786468902886
8,C1,deepseek_v4_flash_max,0.0
8,C1,qwen3_8_max,86.1961301537121
8,C1,glm_5_2_max,63.187532403438965
8,C2,kimi_k3_max,8.524724162738833
8,C2,gpt_5_6_sol_max,100.0
8,C2,gpt_5_5_xhigh,20.12180933071253
8,C2,claude_fable_5_max,28.039216136293717
8,C2,claude_opus_4_8_max,22.206876366042508
8,C2,gemini_3_1_pro_high,48.41604909148612
8,C2,deepseek_v4_pro_max,0.0
8,C2,deepseek_v4_flash_max,25.159773766293682
8,C2,qwen3_8_max,28.451632614216823
8,C2,glm_5_2_max,5.509783251993535
8,C3,kimi_k3_max,49.377013476939965
8,C3,gpt_5_6_sol_max,52.19220698407179
8,C3,gpt_5_5_xhigh,47.93177250425928
8,C3,claude_fable_5_max,53.33695506219166
8,C3,claude_opus_4_8_max,22.73484029245916
8,C3,gemini_3_1_pro_high,25.994126907374522
8,C3,deepseek_v4_pro_max,0.0
8,C3,deepseek_v4_flash_max,100.0
8,C3,qwen3_8_max,45.54127891936132
8,C3,glm_5_2_max,49.44882161090364
8,C4,kimi_k3_max,48.134014439364826
8,C4,gpt_5_6_sol_max,60.64865600681049
8,C4,gpt_5_5_xhigh,42.195058323975665
8,C4,claude_fable_5_max,48.17612671792224
8,C4,claude_opus_4_8_max,75.64317814111557
8,C4,gemini_3_1_pro_high,49.1534083847117
8,C4,deepseek_v4_pro_max,100.0
8,C4,deepseek_v4_flash_max,0.0
8,C4,qwen3_8_max,55.79523394296863
8,C4,glm_5_2_max,45.19077892441068
8,C5,kimi_k3_max,21.911648124110958
8,C5,gpt_5_6_sol_max,100.0
8,C5,gpt_5_5_xhigh,22.16497660274373
8,C5,claude_fable_5_max,2.4108437996679077
8,C5,claude_opus_4_8_max,31.63143535190008
8,C5,gemini_3_1_pro_high,0.0
8,C5,deepseek_v4_pro_max,
8,C5,deepseek_v4_flash_max,
8,C5,qwen3_8_max,22.50797796844912
8,C5,glm_5_2_max,
9,C1,kimi_k3_max,8.762700248977028
9,C1,gpt_5_6_sol_max,57.16449286689769
9,C1,gpt_5_5_xhigh,40.45156736317283
9,C1,claude_fable_5_max,0.0
9,C1,claude_opus_4_8_max,48.59004732752157
9,C1,gemini_3_1_pro_high,100.0
9,C1,deepseek_v4_pro_max,40.08036576019104
9,C1,deepseek_v4_flash_max,62.38120700164844
9,C1,qwen3_8_max,63.267978545858696
9,C1,glm_5_2_max,41.028682978708495
9,C2,kimi_k3_max,22.447878752037873
9,C2,gpt_5_6_sol_max,8.022664427533153
9,C2,gpt_5_5_xhigh,8.78628144622354
9,C2,claude_fable_5_max,100.00000000000001
9,C2,claude_opus_4_8_max,26.022449599622195
9,C2,gemini_3_1_pro_high,22.85102893349611
9,C2,deepseek_v4_pro_max,0.0
9,C2,deepseek_v4_flash_max,36.791613179332664
9,C2,qwen3_8_max,2.0415394996122735
9,C2,glm_5_2_max,4.99363962644324
9,C3,kimi_k3_max,46.00434911061843
9,C3,gpt_5_6_sol_max,38.50947404685944
9,C3,gpt_5_5_xhigh,51.47574581670541
9,C3,claude_fable_5_max,51.30653879726128
9,C3,claude_opus_4_8_max,54.20943283512303
9,C3,gemini_3_1_pro_high,100.0
9,C3,deepseek_v4_pro_max,0.0
9,C3,deepseek_v4_flash_max,44.526584785707676
9,C3,qwen3_8_max,30.56214193607551
9,C3,glm_5_2_max,38.16321816531221
9,C4,kimi_k3_max,65.01519768832563
9,C4,gpt_5_6_sol_max,47.1821743904065
9,C4,gpt_5_5_xhigh,51.18202091110849
9,C4,claude_fable_5_max,42.67207245632206
9,C4,claude_opus_4_8_max,52.78367468894705
9,C4,gemini_3_1_pro_high,50.363873978585595
9,C4,deepseek_v4_pro_max,99.99999999999999
9,C4,deepseek_v4_flash_max,0.0
9,C4,qwen3_8_max,51.42344513538375
9,C4,glm_5_2_max,43.739877414450135
9,C5,kimi_k3_max,0.0
9,C5,gpt_5_6_sol_max,17.985617762825207
9,C5,gpt_5_5_xhigh,68.13202546462566
9,C5,claude_fable_5_max,98.80960642703816
9,C5,claude_opus_4_8_max,72.77536088293458
9,C5,gemini_3_1_pro_high,75.5871881095141
9,C5,deepseek_v4_pro_max,
9,C5,deepseek_v4_flash_max,
9,C5,qwen3_8_max,100.0
9,C5,glm_5_2_max,
10,C1,kimi_k3_max,69.97722584805963
10,C1,gpt_5_6_sol_max,72.64335532846087
10,C1,gpt_5_5_xhigh,58.790932970865335
10,C1,claude_fable_5_max,0.0
10,C1,claude_opus_4_8_max,83.3307493403835
10,C1,gemini_3_1_pro_high,81.76391480764534
10,C1,deepseek_v4_pro_max,100.0
10,C1,deepseek_v4_flash_max,70.77089349518337
10,C1,qwen3_8_max,46.14004616030587
10,C1,glm_5_2_max,24.078712052092953
10,C2,kimi_k3_max,40.8419484911529
10,C2,gpt_5_6_sol_max,96.99411216486595
10,C2,gpt_5_5_xhigh,34.80999061872303
10,C2,claude_fable_5_max,100.0
10,C2,claude_opus_4_8_max,28.402376708782544
10,C2,gemini_3_1_pro_high,62.93092302324311
10,C2,deepseek_v4_pro_max,43.687113900623686
10,C2,deepseek_v4_flash_max,6.745840853427263
10,C2,qwen3_8_max,44.63695090220967
10,C2,glm_5_2_max,0.0
10,C3,kimi_k3_max,40.40527551014935
10,C3,gpt_5_6_sol_max,45.182163584258355
10,C3,gpt_5_5_xhigh,45.040294079162436
10,C3,claude_fable_5_max,42.00947644562021
10,C3,claude_opus_4_8_max,38.2865644282878
10,C3,gemini_3_1_pro_high,34.49846011981056
10,C3,deepseek_v4_pro_max,100.00000000000001
10,C3,deepseek_v4_flash_max,0.0
10,C3,qwen3_8_max,42.194913712415236
10,C3,glm_5_2_max,45.65787261609076
10,C4,kimi_k3_max,42.96848740815422
10,C4,gpt_5_6_sol_max,46.56408700878303
10,C4,gpt_5_5_xhigh,47.559937147785156
10,C4,claude_fable_5_max,63.83745111998771
10,C4,claude_opus_4_8_max,26.284579069471373
10,C4,gemini_3_1_pro_high,52.087379311763144
10,C4,deepseek_v4_pro_max,0.0
10,C4,deepseek_v4_flash_max,100.00000000000001
10,C4,qwen3_8_max,51.51146395303365
10,C4,glm_5_2_max,57.690614868287135
10,C5,kimi_k3_max,100.0
10,C5,gpt_5_6_sol_max,20.54159839457805
10,C5,gpt_5_5_xhigh,17.163732167830382
10,C5,claude_fable_5_max,21.18944641038937
10,C5,claude_opus_4_8_max,41.831466905619806
10,C5,gemini_3_1_pro_high,0.0
10,C5,deepseek_v4_pro_max,
10,C5,deepseek_v4_flash_max,
10,C5,qwen3_8_max,25.36520849854438
10,C5,glm_5_2_max,
11,C1,kimi_k3_max,7.324618667935344
11,C1,gpt_5_6_sol_max,66.7889942908523
11,C1,gpt_5_5_xhigh,63.59082739204514
11,C1,claude_fable_5_max,57.912950793395346
11,C1,claude_opus_4_8_max,0.0
11,C1,gemini_3_1_pro_high,100.0
11,C1,deepseek_v4_pro_max,81.00757733940887
11,C1,deepseek_v4_flash_max,10.060685335871328
11,C1,qwen3_8_max,29.56177169950972
11,C1,glm_5_2_max,67.67183028423817
11,C2,kimi_k3_max,69.37024704089744
11,C2,gpt_5_6_sol_max,0.0
11,C2,gpt_5_5_xhigh,71.68056152342277
11,C2,claude_fable_5_max,94.64152664165981
11,C2,claude_opus_4_8_max,65.55799923206584
11,C2,gemini_3_1_pro_high,48.95928936901399
11,C2,deepseek_v4_pro_max,75.34901619605418
11,C2,deepseek_v4_flash_max,66.33575470458396
11,C2,qwen3_8_max,40.07971244677402
11,C2,glm_5_2_max,100.0
11,C3,kimi_k3_max,50.61101247880418
11,C3,gpt_5_6_sol_max,43.66033444429876
11,C3,gpt_5_5_xhigh,28.059135456816595
11,C3,claude_fable_5_max,39.15578998104361
11,C3,claude_opus_4_8_max,37.13444596420137
11,C3,gemini_3_1_pro_high,25.37762499794645
11,C3,deepseek_v4_pro_max,100.0
11,C3,deepseek_v4_flash_max,0.0
11,C3,qwen3_8_max,33.19499540580763
11,C3,glm_5_2_max,39.31325005463253
11,C4,kimi_k3_max,61.872071229123236
11,C4,gpt_5_6_sol_max,47.68869241565353
11,C4,gpt_5_5_xhigh,67.8392810329529
11,C4,claude_fable_5_max,53.129097907234765
11,C4,claude_opus_4_8_max,58.702126439611554
11,C4,gemini_3_1_pro_high,51.34725877048958
11,C4,deepseek_v4_pro_max,100.0
11,C4,deepseek_v4_flash_max,0.0
11,C4,qwen3_8_max,51.12716053089961
11,C4,glm_5_2_max,24.97771568062864
11,C5,kimi_k3_max,60.26951886890454
11,C5,gpt_5_6_sol_max,72.00114252270025
11,C5,gpt_5_5_xhigh,15.243466148374294
11,C5,claude_fable_5_max,49.891583791737425
11,C5,claude_opus_4_8_max,0.0
11,C5,gemini_3_1_pro_high,100.0
11,C5,deepseek_v4_pro_max,
11,C5,deepseek_v4_flash_max,
11,C5,qwen3_8_max,12.895919523113246
11,C5,glm_5_2_max,
12,C1,kimi_k3_max,60.9574339008028
12,C1,gpt_5_6_sol_max,36.368693788055076
12,C1,gpt_5_5_xhigh,28.6305518190847
12,C1,claude_fable_5_max,0.0
12,C1,claude_opus_4_8_max,10.61544594911671
12,C1,gemini_3_1_pro_high,100.0
12,C1,deepseek_v4_pro_max,40.20844523507168
12,C1,deepseek_v4_flash_max,59.936799612645636
12,C1,qwen3_8_max,39.598976373309576
12,C1,glm_5_2_max,45.036686324392335
12,C2,kimi_k3_max,35.35955223353952
12,C2,gpt_5_6_sol_max,100.0
12,C2,gpt_5_5_xhigh,32.33266541681678
12,C2,claude_fable_5_max,96.62724044447947
12,C2,claude_opus_4_8_max,62.30617050135286
12,C2,gemini_3_1_pro_high,40.775762688799695
12,C2,deepseek_v4_pro_max,0.0
12,C2,deepseek_v4_flash_max,49.498019099315535
12,C2,qwen3_8_max,36.453423635370584
12,C2,glm_5_2_max,1.240340418948179
12,C3,kimi_k3_max,73.17167571092436
12,C3,gpt_5_6_sol_max,66.41086987291555
12,C3,gpt_5_5_xhigh,69.25718604164523
12,C3,claude_fable_5_max,66.31988307530773
12,C3,claude_opus_4_8_max,70.20658564105327
12,C3,gemini_3_1_pro_high,0.0
12,C3,deepseek_v4_pro_max,100.0
12,C3,deepseek_v4_flash_max,98.86907074442976
12,C3,qwen3_8_max,68.29493429894775
12,C3,glm_5_2_max,70.06578337102825
12,C4,kimi_k3_max,46.3818928454564
12,C4,gpt_5_6_sol_max,72.62901872491659
12,C4,gpt_5_5_xhigh,40.569840557444834
12,C4,claude_fable_5_max,54.23519641395997
12,C4,claude_opus_4_8_max,42.10141216920045
12,C4,gemini_3_1_pro_high,51.14639791424874
12,C4,deepseek_v4_pro_max,0.0
12,C4,deepseek_v4_flash_max,100.0
12,C4,qwen3_8_max,52.89632267329843
12,C4,glm_5_2_max,60.708832666620594
12,C5,kimi_k3_max,83.2623664575602
12,C5,gpt_5_6_sol_max,100.0
12,C5,gpt_5_5_xhigh,0.0
12,C5,claude_fable_5_max,60.542899454945
12,C5,claude_opus_4_8_max,53.30303933133912
12,C5,gemini_3_1_pro_high,15.768565913871475
12,C5,deepseek_v4_pro_max,
12,C5,deepseek_v4_flash_max,
12,C5,qwen3_8_max,74.50720184352173
12,C5,glm_5_2_max,
